"filename", "language", "Python", "Markdown", "YAML", "C", "pip requirements", "toml", "Makefile", "Ini", "comment", "blank", "total"
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\1sttkdesigntest\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.flake8", "Ini", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\FUNDING.yml", "YAML", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3, 6
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\ISSUE_TEMPLATE\blank-screen-without-any-elements.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\ISSUE_TEMPLATE\bug-report.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\ISSUE_TEMPLATE\feature-request.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\ISSUE_TEMPLATE\key-error.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\workflows\build.yml", "YAML", 0, 0, 49, 0, 0, 0, 0, 0, 15, 7, 71
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\workflows\greetings.yml", "YAML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\CODE_OF_CONDUCT.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 36, 129
"c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\LEARN.md", "Markdown", 0, 114, 0, 0, 0, 0, 0, 0, 0, 51, 165
