Date : 2023-03-11 14:58:17
Directory : c:\Users\bhati\hello\Tkinter
Total : 91 files,  5480 codes, 314 comments, 2186 blanks, all 7980 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Markdown         |         31 |      2,916 |         11 |      1,542 |      4,469 |
| Python           |         49 |      1,456 |        278 |        537 |      2,271 |
| toml             |          4 |        884 |          0 |         83 |        967 |
| C                |          1 |        133 |          0 |          0 |        133 |
| YAML             |          3 |         65 |         16 |         13 |         94 |
| Makefile         |          1 |         14 |          9 |         10 |         33 |
| pip requirements |          1 |          8 |          0 |          1 |          9 |
| Ini              |          1 |          4 |          0 |          0 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         91 |      5,480 |        314 |      2,186 |      7,980 |
| . (Files)                                                                                                                 |         28 |        770 |        103 |        240 |      1,113 |
| 1stTkDesignTest                                                                                                           |         63 |      4,710 |        211 |      1,946 |      6,867 |
| 1stTkDesignTest (Files)                                                                                                   |          3 |        224 |          0 |         22 |        246 |
| 1stTkDesignTest\1sttkdesigntest                                                                                           |          1 |          0 |          0 |          1 |          1 |
| 1stTkDesignTest\Tkinter-Designer                                                                                          |         53 |      4,251 |        193 |      1,844 |      6,288 |
| 1stTkDesignTest\Tkinter-Designer (Files)                                                                                  |          8 |        987 |         10 |        220 |      1,217 |
| 1stTkDesignTest\Tkinter-Designer\.github                                                                                  |          7 |        113 |         16 |         31 |        160 |
| 1stTkDesignTest\Tkinter-Designer\.github (Files)                                                                          |          1 |          2 |          1 |          3 |          6 |
| 1stTkDesignTest\Tkinter-Designer\.github\ISSUE_TEMPLATE                                                                   |          4 |         48 |          0 |         18 |         66 |
| 1stTkDesignTest\Tkinter-Designer\.github\workflows                                                                        |          2 |         63 |         15 |         10 |         88 |
| 1stTkDesignTest\Tkinter-Designer\docs                                                                                     |         21 |      2,531 |         10 |      1,369 |      3,910 |
| 1stTkDesignTest\Tkinter-Designer\gui                                                                                      |          2 |        154 |          3 |         41 |        198 |
| 1stTkDesignTest\Tkinter-Designer\tests                                                                                    |          1 |         16 |          0 |          7 |         23 |
| 1stTkDesignTest\Tkinter-Designer\tkdesigner                                                                               |         14 |        450 |        154 |        176 |        780 |
| 1stTkDesignTest\Tkinter-Designer\tkdesigner (Files)                                                                       |          7 |        100 |         60 |         36 |        196 |
| 1stTkDesignTest\Tkinter-Designer\tkdesigner\figma                                                                         |          7 |        350 |         94 |        140 |        584 |
| 1stTkDesignTest\build                                                                                                     |          5 |        235 |         18 |         78 |        331 |
| 1stTkDesignTest\tests                                                                                                     |          1 |          0 |          0 |          1 |          1 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                  | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\1sttkdesigntest\__init__.py                                                  | Python           |          0 |          0 |          1 |          1 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\README.md                                                                    | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.flake8                                                     | Ini              |          4 |          0 |          0 |          4 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\FUNDING.yml                                         | YAML             |          2 |          1 |          3 |          6 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\ISSUE_TEMPLATE\blank-screen-without-any-elements.md | Markdown         |         13 |          0 |          7 |         20 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\ISSUE_TEMPLATE\bug-report.md                        | Markdown         |         11 |          0 |          3 |         14 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\ISSUE_TEMPLATE\feature-request.md                   | Markdown         |         12 |          0 |          3 |         15 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\ISSUE_TEMPLATE\key-error.md                         | Markdown         |         12 |          0 |          5 |         17 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\workflows\build.yml                                 | YAML             |         49 |         15 |          7 |         71 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\.github\workflows\greetings.yml                             | YAML             |         14 |          0 |          3 |         17 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\CODE_OF_CONDUCT.md                                          | Markdown         |         93 |          0 |         36 |        129 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\LEARN.md                                                    | Markdown         |        114 |          0 |         51 |        165 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\Makefile                                                    | Makefile         |         14 |          9 |         10 |         33 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\README.md                                                   | Markdown         |         94 |          1 |         60 |        155 |
